lambda,pbSimulation,pdSimulation,pbAnalytical,pdAnalytical
0.1,0.0,0.166903,4.537545207972841E-19,0.15575709350409217
0.2,0.0,0.194519,1.6957244460300455E-15,0.1767514747984241
0.30000000000000004,0.0,0.221187,2.0002826216739641E-13,0.19822738165139878
0.4,0.0,0.248337,5.720802490700132E-12,0.22008680361604066
0.5,0.0,0.273822,7.51514970108603E-11,0.24222674940321903
0.6,0.0,0.298539,6.027534283557053E-10,0.2645414036123803
0.7,0.0,0.323299,3.4356451814997945E-9,0.2869243574698452
0.7999999999999999,0.0,0.345843,1.5237674736415165E-8,0.3092708106287116
0.8999999999999999,0.0,0.369689,5.575473019349491E-8,0.33147964416390896
0.9999999999999999,0.0,0.391451,1.7517066772107985E-7,0.3534552748693856
1.0999999999999999,2.0E-6,0.413504,4.862466460646293E-7,0.3751092166827401
1.2,1.0E-6,0.433453,1.2179684627863769E-6,0.3963612949654897
1.3,2.0E-6,0.453399,2.797536245117497E-6,0.4171404816864396
1.4000000000000001,5.0E-6,0.472529,5.966380728444779E-6,0.4373853425015412
1.5000000000000002,1.3E-5,0.489424,1.193335306480204E-5,0.4570441086387682
1.6000000000000003,1.8E-5,0.508731,2.256444305806696E-5,0.47607440596990774
1.7000000000000004,4.1E-5,0.52527,4.060371681721819E-5,0.4944426895929247
1.8000000000000005,1.01E-4,0.54155,6.991520116103778E-5,0.5121234439276222
1.9000000000000006,1.12E-4,0.557441,1.1573084433721639E-4,0.5290982153774358
2.0000000000000004,2.42E-4,0.570965,1.848861021574942E-4,0.545354547009392
2.1000000000000005,3.45E-4,0.586639,2.8602267378030947E-4,0.5608848827346556
2.2000000000000006,5.54E-4,0.596715,4.29737792495321E-4,0.5756855026661327
2.3000000000000007,7.48E-4,0.611771,6.286613841466691E-4,0.5897555424089709
2.400000000000001,0.001069,0.622318,8.974462208119477E-4,0.6030961378521112
2.500000000000001,0.001506,0.633873,0.0012526615851570166,0.6157097244856863
2.600000000000001,0.002025,0.645512,0.001712587416713165,0.6275995072862495
2.700000000000001,0.002641,0.655375,0.00229691282344779,0.6387691046561379
2.800000000000001,0.003617,0.66498,0.003026349563082392,0.6492223585420484
