lambda,pbSimulation,pdSimulation,pbAnalytical,pdAnalytical
0.1,0.0,0.0424334,5.941918317815156E-19,0.033311118344916624
0.2,0.0,0.0711194,2.191236803005249E-15,0.06648955051459485
0.3,0.0,0.1001828,2.5512414374502464E-13,0.09940508657673752
0.4,1.3E-6,0.1341446,7.203802034373705E-12,0.13193243081530182
0.5,1.2E-6,0.1668986,9.345989447690423E-11,0.16395341365351568
0.6,5.0E-7,0.1954987,7.405701536171295E-10,0.195358848655658
0.70000005,1.3E-6,0.2280072,4.172005157076964E-9,0.22605021122032712
0.8000001,2.5E-6,0.2591577,1.829572018180809E-8,0.25594071044059485
0.9000001,5.5E-6,0.2895974,6.622190863989381E-8,0.28495607360943287
1.0000001,1.31E-5,0.3179462,2.059081296721768E-7,0.3130351230952021
1.1000001,1.71E-5,0.3444668,5.659387123406123E-7,0.3401293345520905
1.2000002,1.05E-5,0.3696246,1.4043042267606721E-6,0.3662029238968159
1.3000002,2.3E-5,0.3956951,3.196876472026184E-6,0.3912316932710583
1.4000002,4.77E-5,0.4202047,6.760790797483892E-6,0.4152024903303149
1.5000002,6.68E-5,0.4435688,1.3415097919624773E-5,0.4381117341852637
1.6000003,1.132E-4,0.4655241,2.517703759946555E-5,0.4599642486369904
1.7000003,1.844E-4,0.4862515,4.498755228677316E-5,0.48077174082571195
1.8000003,2.829E-4,0.5057502,7.69547927647534E-5,0.5005515629381166
1.9000003,4.197E-4,0.5246309,1.266000221658018E-4,0.5193251212268136
2.0000002,5.956E-4,0.5419553,2.0108700313673823E-4,0.5371165767446899
2.1000001,7.877E-4,0.5585604,3.0941489988456486E-4,0.5539517557251568
2.2,9.682E-4,0.573915,4.625538446033162E-4,0.5698569632481374
2.3,0.0012404,0.5876323,6.735059594591685E-4,0.5848580858282368
2.3999999,0.0015781,0.6016932,9.572778030153378E-4,0.5989800288408615
2.4999998,0.0021166,0.6149582,0.0013307560622093041,0.6122460652069827
2.5999997,0.0028623,0.6271695,0.0018124847375365046,0.6246776910621206
2.6999996,0.0036553,0.6382583,0.0024223488803135898,0.6362944107861476
2.7999995,0.0048395,0.6488178,0.0031811764614553704,0.6471138744078531
2.8999994,0.0060264,0.6584744,0.004110275596805684,0.6571520898492603
2.9999993,0.0073925,0.6678205,0.005230928644440019,0.6664236425406224
3.0999992,0.0090854,0.6757435,0.006563867294664004,0.6749421722383075
3.199999,0.0110279,0.6831701,0.008128753541686677,0.6827207821824002
3.299999,0.01323,0.689826,0.00994369038877989,0.6897724641909359
3.399999,0.0157789,0.6954645,0.012024783495598266,0.6961105318470726
3.4999988,0.0184501,0.7010292,0.014385771060328503,0.7017489856168609
3.5999987,0.0216664,0.7049372,0.017037734460290374,0.706702839417495
3.6999986,0.025211,0.7084984,0.01998889700660013,0.7109883644918337
3.7999985,0.0286735,0.7121583,0.023244513039238027,0.7146232781955251
3.8999984,0.0327155,0.7145504,0.026806844877331995,0.7176267675997459
3.9999983,0.0367016,0.7169833,0.030675221136293486,0.7200195728602231
4.0999985,0.0412504,0.7180095,0.03484617711644912,0.7218239362832501
4.1999984,0.0457463,0.7190458,0.03931360443142939,0.7230633746293446
4.2999983,0.0504754,0.719572,0.044069047987592945,0.7237626282825194
4.399998,0.0552531,0.7198782,0.049101938196012454,0.7239474465144236
4.499998,0.0609305,0.7191921,0.05439989312211004,0.7236443309719763
4.599998,0.0662054,0.7186131,0.05994902066530157,0.7228803036119517
4.699998,0.0719395,0.7174523,0.0657342201258383,0.721682724856136
4.799998,0.0780357,0.715457,0.07173947460463401,0.7200789882751901
4.8999977,0.0845985,0.7132966,0.07794812744492673,0.7180963784627508
4.9999976,0.0913656,0.7104889,0.08434313765806452,0.7157618118988185
5.0999975,0.0981934,0.707761,0.09090731089078648,0.7131016855833088
5.1999974,0.1050806,0.7046172,0.09762350392830668,0.7101417296159904
5.2999973,0.1119724,0.7009271,0.10447480195234587,0.706906863161946
5.399997,0.11927,0.6971971,0.11144466877341451,0.7034210822834104
5.499997,0.1267054,0.6931743,0.11851707103602617,0.6997074075507576
5.599997,0.1340864,0.6892739,0.12567657796965406,0.6957877699569064
5.699997,0.1416876,0.6846221,0.13290843865005855,0.6916830113387544
5.799997,0.1490694,0.6799137,0.1401986389718395,0.6874128327523622
5.8999968,0.1561582,0.675865,0.1475339406414906,0.6829958072759159
5.9999967,0.1638247,0.6712256,0.15490190450771127,0.6784493652109073
6.0999966,0.1710457,0.6666048,0.1622909004768672,0.6737898236625728
6.1999965,0.1788749,0.661676,0.16969010613789517,0.6690323836641021
6.2999964,0.186315,0.6568359,0.17708949606091323,0.6641911821016291
6.3999963,0.1935492,0.6520186,0.18447982355227002,0.6592793667177302
6.499996,0.2005049,0.6472719,0.19185259645758154,0.6543090434815023
6.599996,0.2083742,0.6418262,0.1992000484124588,0.6492914226342008
6.699996,0.2155493,0.6367044,0.2065151067547161,0.6442368045154493
6.799996,0.2231951,0.6314123,0.21379135813641612,0.6391546126700027
6.899996,0.2302782,0.6266448,0.22102301271207392,0.6340535478135656
6.9999957,0.2372951,0.6213637,0.22820486763232056,0.6289414893701046
7.0999956,0.2444265,0.6161928,0.23533227044096017,0.6238256356691584
7.1999955,0.251449,0.6111968,0.24240108285755577,0.6187125842819059
7.2999954,0.2588852,0.6057455,0.2494076453268459,0.6136082328827305
7.3999953,0.2655535,0.6005819,0.2563487426295003,0.6085179920516297
7.499995,0.2721555,0.595775,0.26322157077482544,0.6034466988467694
7.599995,0.2795712,0.5904736,0.27002370533378983,0.5983987227050248
7.699995,0.2859245,0.5855896,0.2767530713188882,0.5933779804370805
7.799995,0.2924741,0.5807796,0.28340791467466114,0.5883879645511765
7.899995,0.2992492,0.5757973,0.2899867754079478,0.5834318146719464
7.9999948,0.3051065,0.5713122,0.29648846235908266,0.5785122681361712
8.099995,0.3113434,0.5665308,0.30291202959324875,0.5736318101540396
8.199995,0.3178979,0.5615301,0.3092567844393237,0.5687925390225059
8.299995,0.3233093,0.5573379,0.3155221760410222,0.5639963669079876
8.399996,0.3299419,0.5523554,0.3217078680432189,0.559244924745619
8.499996,0.3355911,0.5478707,0.3278136901566066,0.5545396106237019
8.599997,0.3414131,0.5434443,0.33383962187352856,0.549881620926
8.699997,0.3470503,0.5391283,0.33978577744501415,0.5452719727692845
8.799997,0.3525493,0.534838,0.3456523920451556,0.5407114880065467
8.899998,0.3589442,0.5299607,0.3514398090493587,0.5362008580773289
8.999998,0.3641645,0.5258742,0.3571484683543179,0.5317406109630947
9.099998,0.3694309,0.5218464,0.3627788956695803,0.527331166581124
9.199999,0.3744206,0.5178639,0.36833169271308314,0.5229728093210508
9.299999,0.3801863,0.5134875,0.3738075282459387,0.5186657267996018
9.4,0.3849184,0.5095722,0.3792071298848653,0.5144100180374112
9.5,0.390203,0.5053286,0.3845312766339268,0.5102056785664653
9.6,0.3956836,0.501009,0.38978079208057703,0.506052644479208
9.700001,0.4003076,0.4973952,0.3949565382043359,0.5019507762616162
9.800001,0.4059921,0.492766,0.40005940974970894,0.4978998644147314
9.900002,0.4112352,0.4887232,0.4050903291181706,0.49389965690968435
10.000002,0.4156439,0.4852683,0.41005024173712995,0.48994984146299686
10.100002,0.4207887,0.4811627,0.41494011186676394,0.48605006462748
10.200003,0.4259313,0.4770739,0.41976091880844324,0.4821999430314723
10.300003,0.4305514,0.473402,0.42451365348115316,0.47839903699762426
10.400003,0.435191,0.4694334,0.4291993153348536,0.4746469057814486
10.500004,0.4398702,0.4658573,0.43381890957209857,0.47094306564442023
10.600004,0.4445012,0.4621213,0.4383734446514714,0.4672869997995552
10.700005,0.4486728,0.4587861,0.44286393004847835,0.4636781904514915
10.800005,0.4536492,0.4547628,0.44729137425148374,0.4601160984476725
10.900005,0.4575025,0.4517128,0.45165678297207934,0.45660016506698897
11.000006,0.4621177,0.4479042,0.45596115755095645,0.4531298210636353
11.100006,0.4661686,0.4446379,0.4602054935419036,0.44970448063180085
11.2000065,0.4700921,0.4415316,0.46439077945798657,0.4463235724611746
11.300007,0.474835,0.4375544,0.46851799566530017,0.44298649613917385
11.400007,0.4782041,0.4348648,0.4725881134108965,0.43969266037544036
11.500008,0.482859,0.4310878,0.47660209397263237,0.43644145404926776
11.600008,0.4871937,0.427567,0.4805608879197088,0.43323228420160625
11.700008,0.4902664,0.4252557,0.48446543447363566,0.43006455432205404
11.800009,0.4943307,0.4218821,0.4883166609602312,0.42693764999543193
11.900009,0.4978216,0.4190391,0.49211548234406993,0.42385097662000343
12.00001,0.5014661,0.4162504,0.49586280083753886,0.4208039374464788
12.10001,0.5054754,0.4127908,0.4995595055773323,0.41779594135192577
12.20001,0.5089994,0.4099059,0.5032064723618475,0.414826388201061
12.300011,0.5124733,0.4071399,0.5068045634435059,0.41189469885611674
12.400011,0.5160226,0.4041547,0.510354627370553,0.4090002855326049
12.500011,0.5197929,0.4011562,0.5138574988733667,0.406142581715228
12.600012,0.5228891,0.3986528,0.5173139987907416,0.4033209975280251
12.700012,0.5259536,0.3962441,0.5207249340320188,0.40053498682738653
12.800013,0.529572,0.3932369,0.5240910975713003,0.3977839801525498
12.900013,0.5329171,0.3903697,0.5274132684703174,0.39506742940615314
13.000013,0.5364795,0.3875922,0.5306922119268326,0.3923847929046206
13.100014,0.5393159,0.3851169,0.5339286793457397,0.38973552785643584
13.200014,0.5430783,0.3820169,0.5371234084302752,0.38711909772147124
13.3000145,0.5454518,0.3800983,0.540277123290993,0.38453499445371786
13.400015,0.5486575,0.3775331,0.543390534570372,0.3819826862225849
13.500015,0.5516603,0.3751159,0.5464643395811165,0.37946166942863424
13.600016,0.5550078,0.372243,0.5494992224563895,0.37697145365216156
13.700016,0.5582092,0.3696393,0.5524958543103878,0.3745115316902786
13.800016,0.5609976,0.3672437,0.5554548934078077,0.3720814240909115
13.900017,0.563682,0.3652888,0.5583769853408974,0.3696806566239894
14.000017,0.5669718,0.3625948,0.5612627632129058,0.3673087526474007
14.100018,0.5694908,0.3603778,0.5641128478268599,0.3649652552699444
14.200018,0.5720932,0.3581522,0.5669278478787007,0.36264970480644054
14.300018,0.5750272,0.355838,0.5697083601539065,0.3603616609328385
14.400019,0.5778515,0.3535603,0.5724549697268135,0.3581006801351453
14.500019,0.580188,0.3516442,0.5751682501619296,0.3558663229586847
14.600019,0.5833364,0.3491075,0.5778487637166002,0.35365817615716544
14.70002,0.5851519,0.3475303,0.5804970615444582,0.35147582268690225
14.80002,0.5883856,0.344884,0.5831136838991472,0.349318841503088
14.900021,0.590924,0.342742,0.5856991603378561,0.34718683715857523
15.000021,0.5938194,0.3402861,0.5882540099242627,0.34507941724918656
15.100021,0.5955794,0.3388074,0.5907787414305202,0.34299618476114413
15.200022,0.59814,0.3366942,0.5932738535379655,0.3409367676726792
15.300022,0.6004637,0.3349796,0.5957398350362645,0.3389007815019811
15.4000225,0.6031188,0.3326867,0.5981771650207464,0.3368878663627629
15.500023,0.6053106,0.3309325,0.6005863130877005,0.33489765696663965
15.600023,0.6080952,0.3286925,0.6029677395274521,0.33292978988063116
15.700024,0.6103241,0.3267594,0.6053218955150431,0.3309839331388006
15.800024,0.6125093,0.3250853,0.6076492232983794,0.3290597339000426
15.900024,0.6147955,0.3230588,0.6099501563837184,0.3271568555154958
16.000025,0.6171045,0.3210861,0.6122251197183958,0.3252749773458151
16.100025,0.6189908,0.3196282,0.6144745298707018,0.32341376477897166
16.200026,0.6213959,0.3176357,0.6166987952068395,0.3215729063061964
16.300026,0.6235719,0.315663,0.618898316064903,0.3197520872709684
16.400026,0.6257585,0.3140759,0.6210734849258357,0.3179510045992172
16.500027,0.6275385,0.3124105,0.6232246865813307,0.3161693517302602
16.600027,0.6299875,0.3103705,0.6253522982986538,0.31440683707843
16.700027,0.6317591,0.3089695,0.6274566899823724,0.3126631689701842
16.800028,0.6337583,0.3074368,0.6295382243329858,0.31093806666134505
16.900028,0.6359264,0.3055122,0.6315972570024577,0.3092312452804048
17.000029,0.6375957,0.3041727,0.6336341367466594,0.3075424343025346
17.100029,0.6398704,0.3023687,0.6356492055747369,0.3058713624990541
17.20003,0.6418099,0.3006724,0.6376427988954219,0.3042177652417024
17.30003,0.6436735,0.299057,0.6396152456603087,0.302581384359359
17.40003,0.6456251,0.2974085,0.6415668685041268,0.3009619679977723
17.50003,0.6474261,0.2960499,0.6434979838820385,0.2993592593063902
17.60003,0.6492292,0.2945924,0.645408902203997,0.29777301493045294
17.700031,0.6509808,0.292994,0.6472999279662008,0.29620299742895817
17.800032,0.6528922,0.2914007,0.6491713598796859,0.294648963970198
17.900032,0.6543234,0.2902979,0.651023490996094,0.29311068855773115
18.000032,0.6564164,0.2885765,0.6528566088306629,0.2915879358303619
18.100033,0.6577847,0.287441,0.6546709954824811,0.290080487018916
18.200033,0.6602907,0.2853819,0.656466927752054,0.28858811747693336
18.300034,0.6617317,0.2842252,0.6582446772562259,0.28711061519219694
18.400034,0.6629739,0.2831774,0.6600045105405087,0.28564776204795284
18.500034,0.6652344,0.2811921,0.6617466891888608,0.2841993560648727
18.600035,0.6664918,0.2802437,0.6634714699309681,0.28276518894203084
18.700035,0.6687907,0.2782676,0.665179104747073,0.28134506085323674
18.800035,0.6698326,0.2774021,0.6668698409704017,0.2799387691687363
18.900036,0.6717764,0.2758503,0.6685439213872371,0.2785461269815904
19.000036,0.6730319,0.274806,0.6702015843346862,0.27716693693287564
19.100037,0.6744734,0.2735633,0.6718430637961914,0.27580101719320493
19.200037,0.6761632,0.2722606,0.6734685894948301,0.2744481790176857
19.300037,0.6778225,0.2708586,0.6750783869844544,0.27310824155594193
19.400038,0.6798484,0.2691011,0.6766726777387164,0.2717810317630882
19.500038,0.6812081,0.2680533,0.6782516792380235,0.27046636941161384
19.600039,0.6826793,0.2666432,0.6798156050544735,0.2691640856328985
19.700039,0.6840331,0.2656111,0.6813646649348117,0.2678740153836746
19.80004,0.6857423,0.2640955,0.6828990648814581,0.26659598618913016
19.90004,0.6874894,0.2627439,0.6844190072316456,0.2653298366902206
